timestamp,objectID,startX,startY,endX,endY
2026-01-06T08:12:57.247372,8,0,1,510,511
2026-01-06T08:12:57.339669,8,0,1,510,511
2026-01-06T08:12:57.448154,8,0,1,510,511
2026-01-06T08:12:57.540464,8,0,1,511,510
2026-01-06T08:12:57.649077,8,0,1,511,511
2026-01-06T08:12:57.742878,8,1,0,510,510
2026-01-06T08:12:57.852202,8,0,1,510,510
2026-01-06T08:12:57.947048,8,0,0,511,509
2026-01-06T08:12:58.054569,8,0,0,511,509
2026-01-06T08:12:58.149233,8,0,0,511,509
2026-01-06T08:12:58.243611,8,0,0,510,509
2026-01-06T08:12:58.337368,8,0,1,510,511
2026-01-06T08:12:58.447862,8,0,1,510,510
2026-01-06T08:12:58.540449,8,0,1,511,511
2026-01-06T08:12:58.649494,8,0,1,511,511
2026-01-06T08:12:58.742036,8,0,0,511,509
2026-01-06T08:12:58.851243,8,0,1,510,508
2026-01-06T08:12:58.948608,8,0,0,511,510
2026-01-06T08:12:59.056090,8,0,0,510,508
2026-01-06T08:12:59.149173,8,0,1,511,509
2026-01-06T08:12:59.243476,8,0,1,511,509
2026-01-06T08:12:59.337554,8,0,1,510,511
2026-01-06T08:12:59.450144,8,0,1,511,509
2026-01-06T08:12:59.575746,8,0,1,510,510
2026-01-06T08:12:59.683272,8,0,2,511,510
2026-01-06T08:12:59.776838,8,0,1,510,510
2026-01-06T08:12:59.873893,8,0,2,510,510
2026-01-06T08:12:59.977014,8,0,1,510,510
2026-01-06T08:13:00.070870,8,0,1,510,510
2026-01-06T08:13:00.180382,8,0,0,510,509
2026-01-06T08:13:00.272876,8,0,1,510,509
2026-01-06T08:13:00.366896,8,0,1,510,510
2026-01-06T08:13:00.461857,8,0,1,510,509
2026-01-06T08:13:00.571034,8,0,1,510,509
2026-01-06T08:13:00.664605,8,0,0,510,511
2026-01-06T08:13:00.772550,8,0,1,509,509
2026-01-06T08:13:00.866206,8,0,1,510,509
2026-01-06T08:13:00.976025,8,0,1,509,509
2026-01-06T08:13:01.068261,8,0,1,509,510
2026-01-06T08:13:01.161309,8,0,1,509,510
2026-01-06T08:13:01.254210,8,0,1,509,510
2026-01-06T08:13:01.364076,8,0,1,510,510
2026-01-06T08:13:01.457188,8,1,2,510,510
2026-01-06T08:13:01.566991,8,0,1,510,510
2026-01-06T08:13:01.659822,8,0,1,510,509
2026-01-06T08:13:01.755628,8,0,1,510,509
2026-01-06T08:13:01.848499,8,0,1,510,510
2026-01-06T08:13:01.941657,8,0,1,510,509
2026-01-06T08:13:02.036773,8,0,1,510,510
2026-01-06T08:13:02.129109,8,0,1,510,510
2026-01-06T08:13:02.222702,8,0,1,510,509
2026-01-06T09:00:00,99,1,2,3,4
2026-01-06T09:00:01,99,1,2,3,4
2026-01-06T09:00:02,99,1,2,3,4
2026-01-06T09:00:03,99,1,2,3,4
2026-01-06T09:00:04,99,1,2,3,4
2026-01-06T09:00:05,99,1,2,3,4
2026-01-06T09:00:06,99,1,2,3,4
2026-01-06T09:00:07,99,1,2,3,4
2026-01-06T09:00:08,99,1,2,3,4
2026-01-06T09:00:09,99,1,2,3,4
2026-01-06T09:00:10,99,1,2,3,4
2026-01-06T09:00:11,99,1,2,3,4
2026-01-06T09:00:12,99,1,2,3,4
2026-01-06T09:00:13,99,1,2,3,4
2026-01-06T09:00:14,99,1,2,3,4
2026-01-06T09:00:15,99,1,2,3,4
2026-01-06T09:00:16,99,1,2,3,4
2026-01-06T09:00:17,99,1,2,3,4
2026-01-06T09:00:18,99,1,2,3,4
2026-01-06T09:00:19,99,1,2,3,4
2026-01-06T09:00:20,99,1,2,3,4
2026-01-06T09:00:21,99,1,2,3,4
2026-01-06T09:00:22,99,1,2,3,4
2026-01-06T09:00:23,99,1,2,3,4
2026-01-06T09:00:24,99,1,2,3,4
2026-01-06T09:00:25,99,1,2,3,4
2026-01-06T09:00:26,99,1,2,3,4
2026-01-06T09:00:27,99,1,2,3,4
2026-01-06T09:00:28,99,1,2,3,4
2026-01-06T09:00:29,99,1,2,3,4
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
